iter	RMSE
0	1.248248709
1	1.243190082
2	1.237520739
3	1.229679322
4	1.227193388
5	1.22243118
6	1.216124796
7	1.210344545
8	1.204407444
9	1.199726856
10	1.195421343
11	1.192933642
12	1.19042758
13	1.187880135
14	1.184279286
15	1.180582095
16	1.175288563
17	1.171819827
18	1.170682268
19	1.166364141
20	1.161715408
21	1.159843174
22	1.156768644
23	1.152799899
24	1.151423345
25	1.149535801
26	1.146972114
27	1.143958113
28	1.141026449
29	1.138160966
30	1.134325673
31	1.131990115
32	1.130422889
33	1.128109795
34	1.124793029
35	1.122879055
36	1.120092725
37	1.118384804
38	1.115294977
39	1.114731597
40	1.113361576
41	1.111468614
42	1.109210971
43	1.106781262
44	1.105930441
45	1.105229106
46	1.102273574
47	1.099090648
48	1.096642479
49	1.094715956
50	1.092542258
51	1.090220834
52	1.088289228
53	1.086990019
54	1.086047224
55	1.084109822
56	1.08152034
57	1.079162946
58	1.077287534
59	1.075202694
60	1.074507063
61	1.073829856
62	1.071374427
63	1.070699854
64	1.069824545
65	1.068620268
66	1.06615353
67	1.064576809
68	1.062622651
69	1.06112307
70	1.059916644
71	1.058137082
72	1.056322613
73	1.054099788
74	1.052998681
75	1.051921503
76	1.050572688
77	1.049095526
78	1.047525688
79	1.04635572
80	1.044028397
81	1.042916008
82	1.041555829
83	1.040700075
84	1.039282353
85	1.038993605
86	1.038139564
87	1.036820408
88	1.036024052
89	1.035061662
90	1.034590259
91	1.033672184
92	1.031444884
93	1.030159459
94	1.029107441
95	1.028043055
96	1.026784258
97	1.025933167
98	1.025011636
99	1.024358217
100	1.023441745
101	1.022159025
102	1.021704243
103	1.020459444
104	1.019895068
105	1.019121746
106	1.018172345
107	1.017025632
108	1.016372834
109	1.014960941
110	1.014796229
111	1.013450305
112	1.012896449
113	1.011982228
114	1.010991203
115	1.010368964
116	1.009727012
117	1.009468573
118	1.009054456
119	1.007510566
120	1.006920873
121	1.005692863
122	1.005059793
123	1.004034816
124	1.003249072
125	1.002100911
126	1.001186657
127	0.9992781918
128	0.9983376753
129	0.9977875547
130	0.997254741
131	0.9961986906
132	0.9958677433
133	0.994119687
134	0.9938589185
135	0.9930639273
136	0.9921350756
137	0.9909558039
138	0.9906662438
139	0.989837815
140	0.989148462
141	0.9888378961
142	0.9882175321
143	0.9872559101
144	0.9859510966
145	0.985357208
146	0.9849587622
147	0.9845031836
148	0.9841539582
149	0.9824587054
150	0.9814084179
151	0.9813832791
152	0.980790194
153	0.9798306183
154	0.9788273181
155	0.9783849742
156	0.9778389177
157	0.9773453292
158	0.9763861767
159	0.9759039741
160	0.9756892021
161	0.9748076175
162	0.9744016082
163	0.9739074764
164	0.9731921059
165	0.9723411341
166	0.9716205773
167	0.9713245427
168	0.9710791655
169	0.9702710782
170	0.9696149509
171	0.9693153172
172	0.9687230651
173	0.9679849228
174	0.9674548474
175	0.96687247
176	0.9662426317
177	0.9656781024
178	0.96519789
179	0.9648873592
180	0.964153152
181	0.9640074709
182	0.9632682502
183	0.9624682102
184	0.9617959262
185	0.9610643115
186	0.9601852916
187	0.9596985976
188	0.9588230586
189	0.9583447324
190	0.9581888128
191	0.9579093605
192	0.9573699027
193	0.9570306996
194	0.9564767001
195	0.955706151
196	0.9555410765
197	0.9552246201
198	0.9547799601
199	0.9544616836
200	0.9541546567
201	0.9536521039
202	0.9529960285
203	0.9524278077
204	0.9520933302
205	0.9513215038
206	0.9508940649
207	0.9503908242
208	0.9496401834
209	0.9491581229
210	0.9487009497
211	0.9482303124
212	0.9473368864
213	0.9469573753
214	0.9462420606
215	0.9456811032
216	0.9449969579
217	0.9443050643
218	0.9435997223
219	0.9432466159
220	0.9426367555
221	0.9422397881
222	0.9416619175
223	0.9411620519
224	0.9408616913
225	0.9402201283
226	0.9398309932
227	0.9395622736
228	0.9392850352
229	0.9387712193
230	0.937662889
231	0.9369338737
232	0.9363776241
233	0.9361547745
234	0.9355498007
235	0.934824394
236	0.9342097157
237	0.9338196692
238	0.9335783737
239	0.93311575
240	0.9327102456
241	0.932418392
242	0.932002023
243	0.9312647488
244	0.9305502976
245	0.9299709679
246	0.9294660968
247	0.9289653815
248	0.9283390996
249	0.9279478502
250	0.9274624933
251	0.9268490717
252	0.9267057517
253	0.9262982013
254	0.9258738652
255	0.9253853454
256	0.9246778429
257	0.9243891168
258	0.9240880916
259	0.9234991257
260	0.9232360668
261	0.9224912821
262	0.9216781554
263	0.9208005186
264	0.9202698173
265	0.919720137
266	0.9189687805
267	0.9187264706
268	0.9183829793
269	0.9177719165
270	0.9173023773
271	0.9169202974
272	0.9161527033
273	0.9154738982
274	0.9149111495
275	0.9142422527
276	0.913837175
277	0.912811409
278	0.9124206792
279	0.911900708
280	0.9115475445
281	0.9111696097
282	0.910410786
283	0.9102764645
284	0.9098734677
285	0.9093489866
286	0.9089930477
287	0.9086393342
288	0.9080488643
289	0.9077460431
290	0.9074260499
291	0.906532856
292	0.9059060485
293	0.9051529592
294	0.9045312091
295	0.903695562
296	0.9029779242
297	0.9023448739
298	0.9015222602
299	0.9005101098
300	0.8994449819
301	0.8983941278
302	0.8981294142
303	0.8970560326
304	0.8964731861
305	0.8958667394
306	0.8949049454
307	0.894517423
308	0.8940565084
309	0.8936596168
310	0.8932583642
311	0.8924889501
312	0.8920257191
313	0.8910628094
314	0.8902827729
315	0.8893074903
316	0.8881955549
317	0.8870281668
318	0.8859398556
319	0.8852183084
320	0.8843089853
321	0.883571099
322	0.8828283988
323	0.8823214872
324	0.8813401071
325	0.8801338651
326	0.8795061284
327	0.8783817453
328	0.8778028512
329	0.8769492763
330	0.876461118
331	0.8757504046
332	0.874745422
333	0.8741145972
334	0.8725838354
335	0.8707343141
336	0.8698644152
337	0.869153536
338	0.8683970429
339	0.867642399
340	0.8658520536
341	0.8651845632
342	0.864130715
343	0.8631291666
344	0.8622206093
345	0.861527735
346	0.8609102311
347	0.8604257167
348	0.8592933753
349	0.8585121448
350	0.8575140234
351	0.8561403209
352	0.8548328644
353	0.8541959755
354	0.8533924446
355	0.8525189389
356	0.8514405842
357	0.8506719162
358	0.8493940695
359	0.848609306
360	0.847532813
361	0.8466664882
362	0.8454918821
363	0.8445770172
364	0.843718566
365	0.8428600665
366	0.8422399128
367	0.8412821665
368	0.8406227788
369	0.8399974613
370	0.8385258589
371	0.8374927055
372	0.8367107033
373	0.8361350777
374	0.8353534966
375	0.8341235632
376	0.8335391918
377	0.8319957214
378	0.8310882997
379	0.8301923974
380	0.8293543569
381	0.8287092077
382	0.8280493268
383	0.8274881981
384	0.8268164503
385	0.8260981501
386	0.8255146504
387	0.8248753486
388	0.8233020277
389	0.8227086278
390	0.8218884983
391	0.8206598547
392	0.819640975
393	0.8185185176
394	0.8169552158
395	0.8158574916
396	0.814972711
397	0.8137328106
398	0.8127339496
399	0.8117777039
400	0.8105187804
401	0.8096048805
402	0.8084412058
403	0.807809411
404	0.8073345341
405	0.8062663406
406	0.8054758005
407	0.8040390449
408	0.8034552079
409	0.8022937392
410	0.8015905773
411	0.8002619435
412	0.7993019862
413	0.7988116974
414	0.7979275395
415	0.797023661
416	0.7957945426
417	0.7950925404
418	0.7942330016
419	0.7935484716
420	0.7923030039
421	0.7917782446
422	0.7910769427
423	0.7900782299
424	0.7896312715
425	0.7889260719
426	0.7877865025
427	0.7866631189
428	0.7857099523
429	0.7847018369
430	0.7842450487
431	0.7829580531
432	0.7824177157
433	0.7818753843
434	0.7811002171
435	0.7806319335
436	0.7797843165
437	0.7793562263
438	0.7782889576
439	0.7774276061
440	0.7766823645
441	0.7760845741
442	0.7753320793
443	0.7746809685
444	0.7738839777
445	0.7731566094
446	0.7723426499
447	0.7713814139
448	0.7708026203
449	0.7701456043
450	0.7696892436
451	0.7692080498
452	0.7682320134
453	0.7671564482
454	0.7660196795
455	0.7652357483
456	0.7640966645
457	0.7634367155
458	0.7628117184
459	0.7618603952
460	0.7609084498
461	0.7605209774
462	0.7599642075
463	0.7595799751
464	0.7589841398
465	0.7579282459
466	0.757134828
467	0.7564696826
468	0.7560814639
469	0.7550535196
470	0.7543397973
471	0.7535890749
472	0.7528251993
473	0.752122006
474	0.7517267737
475	0.751337931
476	0.7506751488
477	0.7503235837
478	0.7499975151
479	0.749049651
480	0.7481907113
481	0.7473661913
482	0.7466355926
483	0.7460737504
484	0.745219079
485	0.7442305684
486	0.7433752317
