iter	Passed	Remaining
0	1	608
1	1	426
2	2	370
3	2	351
4	3	328
5	3	312
6	4	298
7	4	290
8	5	281
9	5	275
10	6	270
11	6	265
12	6	261
13	7	259
14	7	256
15	8	255
16	8	253
17	9	251
18	9	249
19	10	249
20	10	249
21	11	248
22	11	246
23	12	244
24	12	243
25	13	241
26	13	239
27	14	239
28	14	238
29	15	237
30	15	235
31	16	234
32	16	233
33	16	232
34	17	232
35	17	231
36	18	230
37	18	229
38	19	229
39	19	228
40	20	227
41	20	225
42	21	225
43	21	224
44	22	223
45	22	222
46	23	223
47	23	223
48	24	222
49	24	221
50	25	220
51	25	220
52	26	219
53	26	219
54	27	218
55	27	218
56	28	218
57	29	222
58	29	221
59	30	220
60	30	220
61	31	219
62	32	224
63	32	224
64	33	223
65	33	222
66	34	221
67	34	220
68	35	220
69	35	219
70	36	218
71	36	217
72	37	217
73	37	216
74	38	215
75	38	215
76	39	214
77	39	213
78	39	212
79	40	212
80	40	211
81	41	210
82	41	210
83	42	209
84	42	209
85	43	209
86	43	208
87	44	207
88	45	208
89	45	207
90	45	206
91	46	205
92	47	205
93	47	205
94	48	204
95	48	203
96	48	203
97	49	202
98	49	202
99	50	201
100	50	200
101	51	200
102	51	199
103	52	198
104	52	198
105	53	197
106	53	196
107	54	196
108	54	196
109	55	195
110	55	194
111	56	194
112	56	193
113	57	193
114	57	192
115	57	191
116	58	191
117	59	191
118	59	190
119	60	190
120	60	189
121	61	189
122	61	188
123	61	187
124	62	187
125	62	186
126	63	186
127	63	185
128	64	184
129	64	184
130	65	183
131	65	183
132	66	182
133	66	181
134	67	181
135	67	180
136	67	180
137	68	179
138	68	178
139	69	178
140	69	177
141	70	177
142	70	176
143	71	176
144	72	177
145	72	176
146	73	175
147	73	175
148	74	175
149	74	174
150	75	174
151	75	173
152	76	173
153	76	172
154	77	171
155	77	171
156	78	170
157	78	170
158	79	169
159	79	169
160	80	168
161	80	168
162	81	167
163	81	167
164	82	166
165	82	166
166	83	165
167	83	165
168	84	164
169	84	163
170	84	163
171	85	162
172	85	162
173	86	161
174	86	161
175	87	160
176	87	160
177	88	159
178	88	158
179	89	158
180	89	157
181	90	157
182	90	156
183	91	156
184	92	157
185	92	156
186	93	156
187	93	155
188	94	154
189	94	154
190	95	153
191	95	153
192	96	152
193	96	152
194	97	151
195	97	151
196	98	150
197	98	150
198	98	149
199	99	149
200	99	148
201	100	147
202	100	147
203	101	146
204	101	146
205	102	145
206	102	145
207	103	144
208	103	144
209	104	143
210	104	143
211	105	142
212	105	142
213	105	141
214	106	141
215	106	140
216	107	139
217	107	139
218	108	138
219	108	138
220	109	137
221	109	137
222	110	136
223	110	136
224	111	135
225	111	135
226	112	134
227	112	134
228	113	133
229	113	133
230	113	132
231	114	132
232	114	131
233	115	131
234	115	130
235	116	130
236	116	129
237	117	128
238	117	128
239	118	127
240	118	127
241	119	126
242	119	126
243	119	125
244	120	125
245	120	124
246	121	124
247	121	123
248	122	123
249	122	122
250	123	122
251	123	121
252	124	121
253	125	121
254	125	120
255	126	120
256	127	120
257	127	119
258	128	119
259	128	118
260	129	118
261	129	117
262	130	117
263	130	116
264	131	116
265	131	115
266	132	115
267	132	114
268	133	114
269	133	113
270	134	113
271	134	112
272	135	112
273	135	111
274	136	111
275	136	110
276	136	110
277	137	109
278	137	109
279	138	108
280	138	108
281	139	107
282	139	107
283	140	106
284	140	106
285	141	105
286	141	105
287	142	104
288	142	104
289	143	103
290	143	103
291	144	102
292	144	102
293	144	101
294	146	101
295	146	101
296	147	100
297	147	99
298	147	99
299	148	99
300	149	98
301	150	98
302	151	98
303	152	98
304	152	97
305	153	97
306	153	96
307	154	96
308	154	95
309	155	95
310	155	94
311	156	94
312	156	93
313	157	93
314	157	92
315	158	92
316	158	91
317	159	91
318	159	90
319	160	90
320	160	89
321	161	89
322	161	88
323	162	88
324	162	87
325	163	87
326	163	86
327	164	86
328	164	85
329	165	85
330	165	84
331	165	83
332	166	83
333	166	82
334	167	82
335	167	81
336	168	81
337	168	80
338	169	80
339	169	79
340	170	79
341	170	78
342	171	78
343	171	77
344	172	77
345	172	76
346	173	76
347	173	75
348	173	75
349	174	74
350	174	74
351	175	73
352	175	73
353	176	72
354	176	72
355	177	71
356	177	71
357	178	70
358	178	70
359	179	69
360	179	69
361	180	68
362	180	68
363	181	67
364	181	67
365	182	66
366	182	66
367	182	65
368	183	65
369	183	64
370	184	64
371	184	63
372	185	63
373	185	62
374	186	62
375	186	61
376	187	61
377	187	60
378	188	60
379	188	59
380	189	59
381	189	58
382	190	58
383	190	57
384	190	57
385	191	56
386	191	56
387	192	55
388	193	55
389	193	54
390	193	54
391	194	53
392	194	53
393	195	52
394	195	52
395	196	51
396	196	51
397	197	50
398	197	50
399	198	49
400	198	49
401	199	48
402	199	48
403	200	47
404	200	47
405	201	46
406	201	46
407	202	45
408	202	45
409	203	44
410	203	44
411	204	43
412	204	43
413	205	42
414	205	42
415	205	41
416	206	41
417	206	40
418	207	40
419	207	39
420	208	39
421	208	38
422	209	38
423	209	37
424	210	37
425	210	36
426	211	36
427	211	35
428	212	35
429	212	34
430	212	34
431	213	33
432	213	33
433	214	32
434	214	32
435	215	31
436	215	31
437	216	30
438	216	30
439	217	29
440	217	29
441	218	28
442	218	28
443	219	27
444	219	27
445	220	26
446	220	26
447	220	25
448	221	25
449	221	24
450	222	24
451	223	23
452	223	23
453	224	22
454	224	22
455	225	21
456	225	21
457	225	20
458	226	20
459	227	19
460	227	19
461	227	18
462	228	18
463	228	17
464	229	17
465	229	16
466	230	16
467	230	15
468	231	15
469	231	14
470	232	14
471	232	13
472	233	13
473	233	12
474	234	12
475	234	11
476	234	11
477	235	10
478	235	10
479	236	9
480	236	9
481	237	8
482	237	8
483	238	7
484	238	7
485	239	6
486	239	6
487	240	5
488	240	5
489	241	4
490	241	4
491	242	3
492	242	3
493	243	2
494	243	2
495	244	1
496	244	1
497	245	0
498	245	0
499	245	0
